A;POLJOPRIVREDA, ŠUMARSTVO I RIBARSTVO
914;Djelatnosti botaničkih i zooloških vrtova i prirodnih rezervata
9141;Djelatnosti botaničkih i zooloških vrtova
91410;Djelatnosti botaničkih i zooloških vrtova
9142;Djelatnosti prirodnih rezervata
91420;Djelatnosti prirodnih rezervata
92;Djelatnosti kockanja i klađenja
920;Djelatnosti kockanja i klađenja
9200;Djelatnosti kockanja i klađenja
92000;Djelatnosti kockanja i klađenja
93;Sportske, zabavne i rekreacijske djelatnosti
931;Sportske djelatnosti
9311;Rad sportskih objekata
93110;Rad sportskih objekata
9312;Djelatnosti sportskih klubova
93120;Djelatnosti sportskih klubova
9313;Djelatnosti fitness centara
93130;Djelatnosti fitness centara
9319;Sportske djelatnosti, d. n.
93190;Sportske djelatnosti, d. n.
932;Zabavne i rekreacijske djelatnosti
9321;Djelatnosti zabavnih i tematskih parkova
93210;Djelatnosti zabavnih i tematskih parkova
9329;Zabavne i rekreacijske djelatnosti, d. n.
93291;Djelatnosti marina
93299;Ostale zabavne i rekreacijske djelatnosti
T;OSTALE USLUŽNE DJELATNOSTI
94;Djelatnosti članskih organizacija
941;Djelatnosti poslovnih organizacija, organizacija poslodavaca i strukovnih članskih organizacija
9411;Djelatnosti poslovnih organizacija i organizacija poslodavaca
94110;Djelatnosti poslovnih organizacija i organizacija poslodavaca
9412;Djelatnosti strukovnih članskih organizacija
94120;Djelatnosti strukovnih članskih organizacija
942;Djelatnosti sindikata
9420;Djelatnosti sindikata
94200;Djelatnosti sindikata
949;Djelatnosti ostalih članskih organizacija
9491;Djelatnosti vjerskih organizacija
94910;Djelatnosti vjerskih organizacija
9492;Djelatnosti političkih organizacija
94920;Djelatnosti političkih organizacija
9499;Djelatnosti ostalih članskih organizacija, d. n.
94990;Djelatnosti ostalih članskih organizacija, d. n.
95;Popravak i održavanje računala, predmeta za osobnu uporabu i kućanstvo te motornih vozila i motocikala
951;Popravak i održavanje računala i komunikacijske opreme
9510;Popravak i održavanje računala i komunikacijske opreme
95100;Popravak i održavanje računala i komunikacijske opreme
952;Popravak i održavanje predmeta za osobnu uporabu i kućanstvo
9521;Popravak i održavanje elektroničkih uređaja za široku potrošnju
95210;Popravak i održavanje elektroničkih uređaja za široku potrošnju
9522;Popravak i održavanje aparata za kućanstvo te opreme za kuću i vrt
95220;Popravak i održavanje aparata za kućanstvo te opreme za kuću i vrt
9523;Popravak i održavanje obuće i proizvoda od kože
95230;Popravak i održavanje obuće i proizvoda od kože
9524;Popravak i održavanje namještaja i pokućstva
95240;Popravak i održavanje namještaja i pokućstva
9525;Popravak i održavanje satova i nakita
95250;Popravak i održavanje satova i nakita
9529;Popravak i održavanje predmeta za osobnu uporabu i kućanstvo, d. n.
95290;Popravak i održavanje predmeta za osobnu uporabu i kućanstvo, d. n.
953;Popravak i održavanje motornih vozila i motocikala
9531;Popravak i održavanje motornih vozila
95310;Popravak i održavanje motornih vozila
9532;Popravak i održavanje motocikala
95320;Popravak i održavanje motocikala
954;Uslužne djelatnosti posredovanja u popravku i održavanju računala, predmeta za osobnu uporabu i kućanstvo te motornih vozila i motocikala
9540;Uslužne djelatnosti posredovanja u popravku i održavanju računala, predmeta za osobnu uporabu i kućanstvo te motornih vozila i motocikala
95400;Uslužne djelatnosti posredovanja u popravku i održavanju računala, predmeta za osobnu uporabu i kućanstvo te motornih vozila i motocikala
96;Osobne uslužne djelatnosti
961;Pranje i čišćenje tekstilnih i krznenih proizvoda
9610;Pranje i čišćenje tekstilnih i krznenih proizvoda
96100;Pranje i čišćenje tekstilnih i krznenih proizvoda
962;Frizerski saloni, saloni za uljepšavanje, dnevni spa tretmani i slične djelatnosti
9621;Frizerski saloni i brijačnice
96210;Frizerski saloni i brijačnice
9622;Saloni za uljepšavanje i ostali tretmani za ljepotu 
96220;Saloni za uljepšavanje i ostali tretmani za ljepotu 
9623;Dnevni spa tretmani, saune i parne kupelji
96230;Dnevni spa tretmani, saune i parne kupelji
963;Pogrebničke i srodne djelatnosti
9630;Pogrebničke i srodne djelatnosti
96301;Djelatnosti groblja i krematorija
96302;Pogrebničke djelatnosti
964;Uslužne djelatnosti posredovanja u ostalim osobnim uslugama
9640;Uslužne djelatnosti posredovanja u ostalim osobnim uslugama
96400;Uslužne djelatnosti posredovanja u ostalim osobnim uslugama
969;Ostale osobne uslužne djelatnost
9691;Pružanje osobnih uslužnih djelatnosti kućanstvima
96910;Pružanje osobnih uslužnih djelatnosti kućanstvima
9699;Ostale osobne uslužne djelatnosti, d. n.
96991;Usluge skrbi za kućne ljubimce
96999;Ostale osobne uslužne djelatnosti
U;DJELATNOSTI KUĆANSTAVA KAO POSLODAVACA I DJELATNOSTI KUĆANSTAVA KOJA PROIZVODE RAZLIČITU ROBU I OBAVLJAJU RAZLIČITE USLUGE ZA VLASTITE POTREBE
97;Djelatnosti kućanstava koja zapošljavaju poslugu
970;Djelatnosti kućanstava koja zapošljavaju poslugu
9700;Djelatnosti kućanstava koja zapošljavaju poslugu
97000;Djelatnosti kućanstava koja zapošljavaju poslugu
98;Djelatnosti privatnih kućanstava koja proizvode različitu robu i obavljaju različite usluge za vlastite potrebe
981;Djelatnosti privatnih kućanstava koja proizvode različitu robu za vlastite potrebe
9810;Djelatnosti privatnih kućanstava koja proizvode različitu robu za vlastite potrebe
98100;Djelatnosti privatnih kućanstava koja proizvode različitu robu za vlastite potrebe
982;Djelatnosti privatnih kućanstava koja obavljaju različite usluge za vlastite potrebe
9820;Djelatnosti privatnih kućanstava koja obavljaju različite usluge za vlastite potrebe
98200;Djelatnosti privatnih kućanstava koja obavljaju različite usluge za vlastite potrebe
V;DJELATNOSTI IZVANTERITORIJALNIH ORGANIZACIJA I TIJELA
99;Djelatnosti izvanteritorijalnih organizacija i tijela
990;Djelatnosti izvanteritorijalnih organizacija i tijela
9900;Djelatnosti izvanteritorijalnih organizacija i tijela
99000;Djelatnosti izvanteritorijalnih organizacija i tijela
